product_id,product_name,date,sales_volume
2,Carrots,2025-12-22,75.0
5,Lettuce,2026-01-06,47.0
6,Broccoli,2025-11-21,45.0
1,Potatoes,2025-11-23,123.0
3,Spinach,2025-10-15,41.0
1,Potatoes,2025-10-26,118.0
6,Broccoli,2025-10-17,32.0
2,Carrots,2025-11-22,118.0
6,Broccoli,2025-12-02,34.0
6,Broccoli,2025-11-17,58.0
6,Broccoli,2025-12-25,65.0
3,Spinach,2025-12-20,96.0
6,Broccoli,2025-11-11,63.0
1,Potatoes,2025-11-25,101.0
3,Spinach,2025-11-05,46.0
5,Lettuce,2025-11-14,99.0
2,Carrots,2025-12-17,67.0
5,Lettuce,2025-10-21,95.0
6,Broccoli,2025-10-22,-15.0
6,Broccoli,2025-11-06,47.0
2,Carrots,2025-12-12,99.0
2,Carrots,2025-12-27,126.0
4,Tomatoes,2025-11-28,83.0
5,Lettuce,2025-12-20,85.0
4,Tomatoes,2025-11-24,112.0
2,Carrots,2025-11-01,81.0
1,Potatoes,2026-01-09,113.0
1,Potatoes,2026-01-02,100.0
2,Carrots,2025-11-20,
5,Lettuce,2025-10-24,97.0
5,Lettuce,2025-10-18,114.0
4,Tomatoes,2025-11-11,88.0
5,Lettuce,2025-11-10,85.0
6,Broccoli,2025-11-02,69.0
5,Lettuce,2025-10-30,55.0
4,Tomatoes,2025-11-12,99.0
1,Potatoes,2025-11-19,96.0
3,Spinach,2025-11-29,79.0
5,Lettuce,2025-12-23,87.0
6,Broccoli,2025-12-08,38.0
6,Broccoli,2025-10-26,59.0
3,Spinach,2025-11-20,54.0
5,Lettuce,2025-12-28,102.0
4,Tomatoes,2026-01-08,105.0
1,Potatoes,2025-12-22,114.0
1,Potatoes,2025-10-21,86.0
6,Broccoli,2025-12-01,73.0
1,Potatoes,2025-10-19,146.0
3,Spinach,2025-11-25,31.0
1,Potatoes,2025-12-13,149.0
4,Tomatoes,2025-10-28,119.0
5,Lettuce,2026-01-03,75.0
3,Spinach,2026-01-09,55.0
2,Carrots,2025-12-25,50.0
3,Spinach,2025-10-23,37.0
3,Spinach,2025-11-19,35.0
6,Broccoli,2026-01-09,65.0
6,Broccoli,2025-11-05,44.0
2,Carrots,2025-11-16,130.0
6,Broccoli,2026-01-05,71.0
1,Potatoes,2025-12-03,128.0
2,Carrots,2025-11-08,99.0
4,Tomatoes,2026-01-07,114.0
4,Tomatoes,2025-12-03,80.0
6,Broccoli,2026-01-03,59.0
3,Spinach,2025-10-19,79.0
3,Spinach,2025-11-21,37.0
5,Lettuce,2025-12-04,86.0
6,Broccoli,2026-01-04,38.0
1,Potatoes,2025-10-15,13444.0
3,Spinach,2025-10-31,77.0
1,Potatoes,2025-11-01,121.0
1,Potatoes,2025-11-10,70.0
3,Spinach,2026-01-07,53.0
3,Spinach,2026-01-11,87.0
3,Spinach,2025-12-21,65.0
4,Tomatoes,2025-12-20,117.0
1,Potatoes,2025-10-16,104.0
3,Spinach,2026-01-01,86.0
5,Lettuce,2025-11-21,86.0
3,Spinach,2025-11-01,59.0
3,Spinach,2025-12-23,61.0
2,Carrots,2026-01-02,94.0
2,Carrots,2026-01-01,99.0
4,Tomatoes,2025-10-21,89.0
4,Tomatoes,2025-12-24,
1,Potatoes,2025-11-12,102.0
3,Spinach,2025-12-11,32.0
3,Spinach,2025-11-15,88.0
1,Potatoes,2025-11-28,13444.0
2,Carrots,2025-11-07,74.0
1,Potatoes,2025-11-07,128.0
6,Broccoli,2025-11-24,74.0
2,Carrots,2025-10-15,91.0
5,Lettuce,2025-11-03,88.0
3,Spinach,2025-11-30,91.0
3,Spinach,2026-01-02,51.0
2,Carrots,2026-01-10,84.0
3,Spinach,2025-10-16,75.0
2,Carrots,2025-12-08,55.0
6,Broccoli,2025-11-01,72.0
3,Spinach,2025-12-06,96.0
6,Broccoli,2025-12-20,67.0
2,Carrots,2026-01-06,91.0
5,Lettuce,2025-10-31,55.0
6,Broccoli,2025-11-23,69.0
2,Carrots,2026-01-11,85.0
4,Tomatoes,2025-10-26,140.0
4,Tomatoes,2025-11-19,102.0
3,Spinach,2025-10-18,60.0
6,Broccoli,2025-10-18,82.0
2,Carrots,2026-01-05,76.0
1,Potatoes,2026-01-04,158.0
1,Potatoes,2025-11-09,100.0
3,Spinach,2025-11-07,85.0
6,Broccoli,2025-10-30,39.0
5,Lettuce,2025-12-01,99.0
2,Carrots,2026-01-12,73.0
5,Lettuce,2025-11-07,45.0
3,Spinach,2025-12-04,33.0
2,Carrots,2025-11-27,106.0
