product_id,product_name,date,stock_level
1,Potatoes,2025-10-09,65
1,Potatoes,2025-10-10,89
1,Potatoes,2025-10-12,100
1,Potatoes,2025-10-14,137
1,Potatoes,2025-10-15,156
1,Potatoes,2025-10-16,186
1,Potatoes,2025-10-17,160
1,Potatoes,2025-10-19,216
1,Potatoes,2025-10-20,130
1,Potatoes,2025-10-22,77
1,Potatoes,2025-10-23,231
1,Potatoes,2025-10-24,258
1,Potatoes,2025-10-25,126
1,Potatoes,2025-10-27,160
1,Potatoes,2025-10-28,162
1,Potatoes,2025-10-30,150
1,Potatoes,2025-10-31,186
1,Potatoes,2025-11-01,239
1,Potatoes,2025-11-03,216
1,Potatoes,2025-11-04,190
1,Potatoes,2025-11-05,142
1,Potatoes,2025-11-08,161
1,Potatoes,2025-11-09,210
1,Potatoes,2025-11-13,117
1,Potatoes,2025-11-15,271
1,Potatoes,2025-11-16,186
1,Potatoes,2025-11-17,184
1,Potatoes,2025-11-18,152
1,Potatoes,2025-11-21,138
1,Potatoes,2025-11-23,184
1,Potatoes,2025-11-24,152
1,Potatoes,2025-11-26,234
1,Potatoes,2025-11-27,257
1,Potatoes,2025-11-28,122
1,Potatoes,2025-11-30,201
1,Potatoes,2025-12-02,281
1,Potatoes,2025-12-03,284
1,Potatoes,2025-12-05,213
1,Potatoes,2025-12-06,214
1,Potatoes,2025-12-07,96
1,Potatoes,2025-12-09,116
1,Potatoes,2025-12-10,194
1,Potatoes,2025-12-12,195
1,Potatoes,2025-12-13,258
1,Potatoes,2025-12-16,87
1,Potatoes,2025-12-19,193
1,Potatoes,2025-12-20,221
1,Potatoes,2025-12-21,141
1,Potatoes,2025-12-22,203
1,Potatoes,2025-12-23,266
1,Potatoes,2025-12-24,159
1,Potatoes,2025-12-25,272
1,Potatoes,2025-12-26,191
1,Potatoes,2025-12-27,260
1,Potatoes,2025-12-28,184
1,Potatoes,2025-12-29,297
1,Potatoes,2025-12-31,209
1,Potatoes,2026-01-01,208
1,Potatoes,2026-01-03,85
1,Potatoes,2026-01-04,215
1,Potatoes,2026-01-05,76
2,Carrots,2025-10-08,179
2,Carrots,2025-10-10,180
2,Carrots,2025-10-11,234
2,Carrots,2025-10-13,176
2,Carrots,2025-10-14,164
2,Carrots,2025-10-15,297
2,Carrots,2025-10-17,260
2,Carrots,2025-10-18,278
2,Carrots,2025-10-19,206
2,Carrots,2025-10-20,140
2,Carrots,2025-10-21,105
2,Carrots,2025-10-22,224
2,Carrots,2025-10-23,223
2,Carrots,2025-10-24,137
2,Carrots,2025-10-25,131
2,Carrots,2025-10-28,258
2,Carrots,2025-10-30,223
2,Carrots,2025-10-31,202
2,Carrots,2025-11-01,230
2,Carrots,2025-11-02,92
2,Carrots,2025-11-06,296
2,Carrots,2025-11-07,97
2,Carrots,2025-11-08,297
2,Carrots,2025-11-09,159
2,Carrots,2025-11-10,128
2,Carrots,2025-11-11,249
2,Carrots,2025-11-12,122
2,Carrots,2025-11-14,139
2,Carrots,2025-11-15,149
2,Carrots,2025-11-16,148
2,Carrots,2025-11-17,96
2,Carrots,2025-11-18,167
2,Carrots,2025-11-19,126
2,Carrots,2025-11-21,167
2,Carrots,2025-11-22,103
2,Carrots,2025-11-23,234
2,Carrots,2025-11-24,139
2,Carrots,2025-11-25,220
2,Carrots,2025-11-26,223
2,Carrots,2025-11-27,154
2,Carrots,2025-11-29,209
2,Carrots,2025-12-01,188
2,Carrots,2025-12-02,169
2,Carrots,2025-12-03,250
2,Carrots,2025-12-05,282
2,Carrots,2025-12-06,156
2,Carrots,2025-12-07,144
2,Carrots,2025-12-08,178
2,Carrots,2025-12-09,288
2,Carrots,2025-12-10,191
2,Carrots,2025-12-11,300
2,Carrots,2025-12-12,183
2,Carrots,2025-12-15,144
2,Carrots,2025-12-17,169
2,Carrots,2025-12-18,164
2,Carrots,2025-12-19,260
2,Carrots,2025-12-20,211
2,Carrots,2025-12-21,251
2,Carrots,2025-12-22,168
2,Carrots,2025-12-23,165
2,Carrots,2025-12-24,190
2,Carrots,2025-12-25,272
2,Carrots,2025-12-27,200
2,Carrots,2025-12-30,292
2,Carrots,2025-12-31,152
2,Carrots,2026-01-01,172
2,Carrots,2026-01-02,201
2,Carrots,2026-01-03,182
2,Carrots,2026-01-04,117
2,Carrots,2026-01-06,191
3,Spinach,2025-10-08,140
3,Spinach,2025-10-09,271
3,Spinach,2025-10-10,143
3,Spinach,2025-10-11,80
3,Spinach,2025-10-12,220
3,Spinach,2025-10-13,66
3,Spinach,2025-10-15,156
3,Spinach,2025-10-16,142
3,Spinach,2025-10-17,246
3,Spinach,2025-10-18,272
3,Spinach,2025-10-19,239
3,Spinach,2025-10-20,192
3,Spinach,2025-10-22,53
3,Spinach,2025-10-24,149
3,Spinach,2025-10-25,181
3,Spinach,2025-10-27,99
3,Spinach,2025-10-28,138
3,Spinach,2025-10-29,68
3,Spinach,2025-10-30,257
3,Spinach,2025-10-31,145
3,Spinach,2025-11-01,188
3,Spinach,2025-11-02,104
3,Spinach,2025-11-03,256
3,Spinach,2025-11-04,155
3,Spinach,2025-11-05,166
3,Spinach,2025-11-06,225
3,Spinach,2025-11-07,242
3,Spinach,2025-11-08,94
3,Spinach,2025-11-09,196
3,Spinach,2025-11-10,252
3,Spinach,2025-11-11,108
3,Spinach,2025-11-16,156
3,Spinach,2025-11-18,89
3,Spinach,2025-11-19,192
3,Spinach,2025-11-20,273
3,Spinach,2025-11-22,237
3,Spinach,2025-11-24,142
3,Spinach,2025-11-27,209
3,Spinach,2025-11-29,267
3,Spinach,2025-11-30,191
3,Spinach,2025-12-01,155
3,Spinach,2025-12-02,214
3,Spinach,2025-12-03,200
3,Spinach,2025-12-05,201
3,Spinach,2025-12-06,128
3,Spinach,2025-12-07,150
3,Spinach,2025-12-11,64
3,Spinach,2025-12-12,176
3,Spinach,2025-12-13,141
3,Spinach,2025-12-14,139
3,Spinach,2025-12-15,126
3,Spinach,2025-12-17,119
3,Spinach,2025-12-19,86
3,Spinach,2025-12-20,150
3,Spinach,2025-12-22,160
3,Spinach,2025-12-23,261
3,Spinach,2025-12-24,199
3,Spinach,2025-12-26,198
3,Spinach,2025-12-28,176
3,Spinach,2025-12-29,195
3,Spinach,2025-12-31,212
3,Spinach,2026-01-01,176
3,Spinach,2026-01-02,176
3,Spinach,2026-01-05,180
3,Spinach,2026-01-06,150
4,Tomatoes,2025-10-09,253
4,Tomatoes,2025-10-10,200
4,Tomatoes,2025-10-14,154
4,Tomatoes,2025-10-15,228
4,Tomatoes,2025-10-16,154
4,Tomatoes,2025-10-17,282
4,Tomatoes,2025-10-18,218
4,Tomatoes,2025-10-21,59
4,Tomatoes,2025-10-22,197
4,Tomatoes,2025-10-23,135
4,Tomatoes,2025-10-24,196
4,Tomatoes,2025-10-26,274
4,Tomatoes,2025-10-27,237
4,Tomatoes,2025-10-28,127
4,Tomatoes,2025-10-29,210
4,Tomatoes,2025-10-30,242
4,Tomatoes,2025-10-31,254
4,Tomatoes,2025-11-01,145
4,Tomatoes,2025-11-04,181
4,Tomatoes,2025-11-05,140
4,Tomatoes,2025-11-06,151
4,Tomatoes,2025-11-07,151
4,Tomatoes,2025-11-08,86
4,Tomatoes,2025-11-09,209
4,Tomatoes,2025-11-10,128
4,Tomatoes,2025-11-12,84
4,Tomatoes,2025-11-13,180
4,Tomatoes,2025-11-14,65
4,Tomatoes,2025-11-15,244
4,Tomatoes,2025-11-16,285
4,Tomatoes,2025-11-17,138
4,Tomatoes,2025-11-18,200
